Model,Accuracy,F1 Score,Execution Time
k-NN_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.18875,0.11008417253652221,0.041007280349731445
LGBM_CICIDS2017_CICIDS2018_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.2675,0.13920194100859803,0.04275012016296387
RF_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.040625,0.008071888825656747,0.4172797203063965
k-NN_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.08625,0.03821750663129973,0.058484792709350586
LGBM_CICIDS2017_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.01375,0.00570662768031189,0.08086967468261719
RF_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.08,0.010557136624358067,0.046884775161743164
k-NN_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.0025,0.0012368024132730017,0.06361770629882812
LGBM_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.12125,0.024800239486052898,0.034972190856933594
RF_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.096875,0.02750355553157514,0.04701709747314453
k-NN_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.01875,0.013350020859407593,0.056450605392456055
LGBM_CICIDS2017_CICIDS2018_CICIDS2019_UNSW-NB15_w_CICIDS2017_CICIDS2018,0.058125,0.013132399264200659,0.04947543144226074
RF_CICIDS2017_w_CICIDS2017_CICDDoS2019,0.07886363636363636,0.04764133421760481,0.0468447208404541
k-NN_CICIDS2017_w_CICIDS2017_CICDDoS2019,0.0809090909090909,0.03672097146939517,0.09130048751831055
LGBM_CICIDS2017_w_CICIDS2017_CICDDoS2019,0.06568181818181819,0.0236210051215884,0.03629112243652344
RF_CICIDS2018_w_CICIDS2017_CICDDoS2019,0.046136363636363635,0.0039534544038171285,0.04577898979187012
k-NN_CICIDS2018_w_CICIDS2017_CICDDoS2019,0.05409090909090909,0.015283402071437018,0.08912873268127441
LGBM_CICIDS2018_w_CICIDS2017_CICDDoS2019,0.05545454545454546,0.01822377241773947,0.021500587463378906
RF_CICIDS2019_w_CICIDS2017_CICDDoS2019,0.07659090909090908,0.02823678649098992,0.046053171157836914
k-NN_CICIDS2019_w_CICIDS2017_CICDDoS2019,0.09204545454545454,0.04481512188834276,0.09649658203125
LGBM_CICIDS2019_w_CICIDS2017_CICDDoS2019,0.042727272727272725,0.02930742781453394,0.06265616416931152
RF_UNSW-NB15_w_CICIDS2017_CICDDoS2019,0.04159090909090909,0.00407218698989518,0.046462059020996094
k-NN_UNSW-NB15_w_CICIDS2017_CICDDoS2019,0.037954545454545456,0.0034686547593443585,0.08731627464294434
LGBM_UNSW-NB15_w_CICIDS2017_CICDDoS2019,0.04068181818181818,0.008937023754251405,0.034627437591552734
RF_CICIDS2017_CICIDS2018_w_CICIDS2017_CICDDoS2019,0.04340909090909091,0.006931102725795863,0.04515528678894043
k-NN_CICIDS2017_CICIDS2018_w_CICIDS2017_CICDDoS2019,0.04409090909090909,0.012078809107852449,0.08767533302307129
LGBM_CICIDS2017_CICIDS2018_w_CICIDS2017_CICDDoS2019,0.041363636363636366,0.00429081525489843,0.0330352783203125
RF_CICIDS2017_CICIDS2019_w_CICIDS2017_CICDDoS2019,0.9756818181818182,0.9758745969565027,0.05486130714416504
k-NN_CICIDS2017_CICIDS2019_w_CICIDS2017_CICDDoS2019,0.8,0.7923450365384707,0.09621310234069824
